source,name,lat,lng,DocNo
Libya_frees_foreign_HIV_medics,Paris,48.85,2.35,58
New_human_HIV_strain_discovered_in_France,Paris,48.85,2.35,59
New_human_HIV_strain_discovered_in_France,France,47,2,59
New_human_HIV_strain_discovered_in_France,Cameroon,6,12,59
"Pamela_Anderson_visits_Greece,_promoting_the_MAC_AIDS_Fund",Athens,37.98,23.72,60
"Pamela_Anderson_visits_Greece,_promoting_the_MAC_AIDS_Fund",Greece,39,22,60
"Pamela_Anderson_visits_Greece,_promoting_the_MAC_AIDS_Fund",Hollywood,34.1,-118.33,60
"Pamela_Anderson_visits_Greece,_promoting_the_MAC_AIDS_Fund",Toronto,43.7,-79.4,60
"Pamela_Anderson_visits_Greece,_promoting_the_MAC_AIDS_Fund",Canada,60,-95,60
"Pamela_Anderson_visits_Greece,_promoting_the_MAC_AIDS_Fund",Europe,51,17.5,60
8th_case_of_mad_cow_disease_found_in_Canada,Alberta,55,-115,61
8th_case_of_mad_cow_disease_found_in_Canada,United States,40,-100,61
8th_case_of_mad_cow_disease_found_in_Canada,Canada,60,-95,61
Agriculture_Department_investigating_possible_U.S._case_of_mad_cow_disease,Ames,42.03,-93.62,62
Agriculture_Department_investigating_possible_U.S._case_of_mad_cow_disease,Iowa,42,-93,62
Agriculture_Department_investigating_possible_U.S._case_of_mad_cow_disease,U.S.,40,-100,62
Agriculture_Department_investigating_possible_U.S._case_of_mad_cow_disease,United Kingdom,55,-3,62
Agriculture_Department_investigating_possible_U.S._case_of_mad_cow_disease,UK,55,-3,62
Agriculture_Department_investigating_possible_U.S._case_of_mad_cow_disease,Canada,60,-95,62
Agriculture_Department_investigating_possible_U.S._case_of_mad_cow_disease,Washington,47.5,-120.5,62
Agriculture_Department_investigating_possible_U.S._case_of_mad_cow_disease,Sweden,63,16,62
Canada_confirms_fifth_case_of_Mad_Cow_Disease,Canada,60,-95,63
Canada_confirms_fifth_case_of_Mad_Cow_Disease,British Columbia,54,-125,63
Canada_confirms_fifth_case_of_Mad_Cow_Disease,Fraser Valley,49.10,-122.29,63
Canada_confirms_fifth_case_of_Mad_Cow_Disease,Vancouver,49.25,-123.1,63
Canada_confirms_fifth_case_of_Mad_Cow_Disease,United States,40,-100,63
Canada_confirms_fifth_case_of_Mad_Cow_Disease,U.S.,40,-100,63
Canada_confirms_fifth_case_of_Mad_Cow_Disease,Alberta,55,-115,63
Canada_confirms_fifth_case_of_Mad_Cow_Disease,United Kingdom,55,-3,63
FDA_recalls_foreign_meat_used_in_aid_for_victims_of_Hurricane_Katrina,Britain,55,-3,64
FDA_recalls_foreign_meat_used_in_aid_for_victims_of_Hurricane_Katrina,Little Rock,34.73,-92.33,64
FDA_recalls_foreign_meat_used_in_aid_for_victims_of_Hurricane_Katrina,Arkansas,34.8,-92.2,64
FDA_recalls_foreign_meat_used_in_aid_for_victims_of_Hurricane_Katrina,American South,34,-90,64
FDA_recalls_foreign_meat_used_in_aid_for_victims_of_Hurricane_Katrina,US,40,-100,64
FDA_recalls_foreign_meat_used_in_aid_for_victims_of_Hurricane_Katrina,U.S.,40,-100,64
FDA_recalls_foreign_meat_used_in_aid_for_victims_of_Hurricane_Katrina,Spain,40,-4,64
FDA_recalls_foreign_meat_used_in_aid_for_victims_of_Hurricane_Katrina,Italy,43,12,64
FDA_recalls_foreign_meat_used_in_aid_for_victims_of_Hurricane_Katrina,Israel,31,35,64
Mad_Cow_disease_confirmed_in_U.S.,Alabama,32.7,-86.7,65
Mad_Cow_disease_confirmed_in_U.S.,Ames,42.03,-93.62,65
Mad_Cow_disease_confirmed_in_U.S.,Iowa,42,-93,65
Mad_Cow_disease_confirmed_in_U.S.,Georgia,33,-83.5,65
Mad_Cow_disease_confirmed_in_U.S.,U.S.,40,-100,65
Mad_Cow_disease_confirmed_in_U.S.,Washington,47.5,-120.5,65
Mad_Cow_disease_confirmed_in_U.S.,Canada,60,-95,65
Mad_Cow_disease_confirmed_in_U.S.,Texas,31,-100,65
Mad_Cow_disease_confirmed_in_U.S.,Sweden,63,16,65
South_Korean_police_clamp_down_on_protests_against_US_beef,United States,40,-100,66
South_Korean_police_clamp_down_on_protests_against_US_beef,Seoul,37.56,126.96,66
South_Korean_police_clamp_down_on_protests_against_US_beef,U.S.,40,-100,66
USDA_says_mad_cow_disease_found_in_cow_in_California,California,37,-120,67
USDA_says_mad_cow_disease_found_in_cow_in_California,Ames,42.03,-93.62,67
USDA_says_mad_cow_disease_found_in_cow_in_California,Iowa,42,-93,67
USDA_says_mad_cow_disease_found_in_cow_in_California,United States,40,-100,67
USDA_says_mad_cow_disease_found_in_cow_in_California,Washington,47.5,-120.5,67
USDA_says_mad_cow_disease_found_in_cow_in_California,Canada,60,-95,67
New_case_of_Mad_Cow_disease_found_in_Canada,Alberta,55,-115,68
New_case_of_Mad_Cow_disease_found_in_Canada,Canada,60,-95,68
New_case_of_Mad_Cow_disease_found_in_Canada,Winnipeg,49.89,-97.13,68
New_case_of_Mad_Cow_disease_found_in_Canada,United States,40,-100,68
New_case_of_Mad_Cow_disease_found_in_Canada,Washington,47.5,-120.5,68
New_case_of_Mad_Cow_disease_found_in_Canada,Texas,31,-100,68
New_case_of_Mad_Cow_disease_found_in_Canada,England,51.5,-0.11,68
Mosquitoes_test_positive_for_West_Nile_virus_in_Rhode_Island,East Providence,41.81,-71.37,69
Mosquitoes_test_positive_for_West_Nile_virus_in_Rhode_Island,Barrington,41.74,-71.31,69
Mosquitoes_test_positive_for_West_Nile_virus_in_Rhode_Island,Rhode Island,41.7,-71.5,69
Mosquitoes_test_positive_for_West_Nile_virus_in_Rhode_Island,Massachusetts,42.3,-71.8,69
Two_new_cases_of_West_Nile_Virus_reported_in_Indiana,Hammond,41.61,-87.49,70
Two_new_cases_of_West_Nile_Virus_reported_in_Indiana,Indiana,40,-86,70
Crow_found_in_Vermont_is_state%27s_first_West_Nile_case_this_year,Vermont,44,-72.7,71
Crow_found_in_Vermont_is_state%27s_first_West_Nile_case_this_year,Brattleboro,42.85,-72.58,71
"Wikinews_finds_citizens%27_feelings,_actions_throughout_Texas_regarding_West_Nile_virus_threat_vary_greatly",US,40,-100,72
"Wikinews_finds_citizens%27_feelings,_actions_throughout_Texas_regarding_West_Nile_virus_threat_vary_greatly",Texas,31,-100,72
"Wikinews_finds_citizens%27_feelings,_actions_throughout_Texas_regarding_West_Nile_virus_threat_vary_greatly",Longview,32.50,-94.75,72
"Wikinews_finds_citizens%27_feelings,_actions_throughout_Texas_regarding_West_Nile_virus_threat_vary_greatly",Tyler,32.35,-95.3,72
"Wikinews_finds_citizens%27_feelings,_actions_throughout_Texas_regarding_West_Nile_virus_threat_vary_greatly",Fairfield,31.72,-96.15,72
"Wikinews_finds_citizens%27_feelings,_actions_throughout_Texas_regarding_West_Nile_virus_threat_vary_greatly",Malakoff,32.17,-96.01,72
"Wikinews_finds_citizens%27_feelings,_actions_throughout_Texas_regarding_West_Nile_virus_threat_vary_greatly",Dallas,32.77,-96.79,72
"Wikinews_finds_citizens%27_feelings,_actions_throughout_Texas_regarding_West_Nile_virus_threat_vary_greatly",Austin,30.26,-97.73,72
Cities_across_Texas_increase_efforts_to_combat_mosquitos,Texas,31,-100,73
Cities_across_Texas_increase_efforts_to_combat_mosquitos,United States,40,-100,73
Cities_across_Texas_increase_efforts_to_combat_mosquitos,Dallas County,32.77,-96.78,73
Cities_across_Texas_increase_efforts_to_combat_mosquitos,North Dallas,32.77,-96.79,73
Cities_across_Texas_increase_efforts_to_combat_mosquitos,Malakoff,32.17,-96.01,73
Cities_across_Texas_increase_efforts_to_combat_mosquitos,Dallas,32.77,-96.79,73
Cities_across_Texas_increase_efforts_to_combat_mosquitos,Abilene,32.45,-99.75,73
Cities_across_Texas_increase_efforts_to_combat_mosquitos,Houston,29.76,-95.38,73
Cities_across_Texas_increase_efforts_to_combat_mosquitos,New Jersey,40,-74.5,73
Cities_across_Texas_increase_efforts_to_combat_mosquitos,Lubbock,33.56,-101.88,73
Cities_across_Texas_increase_efforts_to_combat_mosquitos,Austin,30.26,-97.73,73
Cities_across_Texas_increase_efforts_to_combat_mosquitos,U.S.,40,-100,73
Cities_across_Texas_increase_efforts_to_combat_mosquitos,California,37,-120,73
US_military_to_buy_anthrax_and_bioweapons_production_systems,US,40,-100,74
US_military_to_buy_anthrax_and_bioweapons_production_systems,Dugway Proving Ground,40.18,-113.21,74
US_military_to_buy_anthrax_and_bioweapons_production_systems,Utah,39,-111,74
US_military_to_buy_anthrax_and_bioweapons_production_systems,Dugway,40.18,-113.21,74
US_military_to_buy_anthrax_and_bioweapons_production_systems,Germany,51,9,74
US_military_to_buy_anthrax_and_bioweapons_production_systems,U.S.,40,-100,74
US_military_to_buy_anthrax_and_bioweapons_production_systems,Fort Detrick,39.43,-77.42,74
Anthrax_scare_closes_Michigan_newspaper_office,Midland,43.61,-84.24,75
Anthrax_scare_closes_Michigan_newspaper_office,Michigan,44,-85,75
Anthrax_scare_closes_Michigan_newspaper_office,USA,40,-100,75
Anthrax_scare_closes_Michigan_newspaper_office,Lansing,42.73,-84.54,75
Suspect_in_2001_anthrax_attack_dies_of_apparent_suicide,Frederick,39.41,-77.41,76
Suspect_in_2001_anthrax_attack_dies_of_apparent_suicide,Maryland,39,-76.7,76
Suspect_in_2001_anthrax_attack_dies_of_apparent_suicide,Fort Detrick,39.43,-77.42,76
Suspect_in_2001_anthrax_attack_dies_of_apparent_suicide,Washington DC,38.90,-77.01,76
Suspect_in_2001_anthrax_attack_dies_of_apparent_suicide,New York City,40.71,-74.00,76
Suspect_in_2001_anthrax_attack_dies_of_apparent_suicide,Florida,28.1,-81.6,76
Suspect_in_2001_anthrax_attack_dies_of_apparent_suicide,Frederick County,39.47,-77.4,76
"White_powder_found_at_Buffalo,_N.Y._courthouse",Buffalo,42.90,-78.84,77
"White_powder_found_at_Buffalo,_N.Y._courthouse",New York,43,-75,77
"Envelopes_containing_white_powder_sent_to_Church_of_Scientology_locations_in_southern_California,_USA",California,37,-120,78
"Envelopes_containing_white_powder_sent_to_Church_of_Scientology_locations_in_southern_California,_USA",United States,40,-100,78
"Envelopes_containing_white_powder_sent_to_Church_of_Scientology_locations_in_southern_California,_USA",Tustin,33.73,-117.81,78
"Envelopes_containing_white_powder_sent_to_Church_of_Scientology_locations_in_southern_California,_USA",Glendale,34.14,-118.25,78
"Envelopes_containing_white_powder_sent_to_Church_of_Scientology_locations_in_southern_California,_USA",Hollywood,34.1,-118.33,78
"Envelopes_containing_white_powder_sent_to_Church_of_Scientology_locations_in_southern_California,_USA",Los Angeles,34.05,-118.25,78
"Envelopes_containing_white_powder_sent_to_Church_of_Scientology_locations_in_southern_California,_USA",San Fernando Valley,34.23,-118.46,78
"Envelopes_containing_white_powder_sent_to_Church_of_Scientology_locations_in_southern_California,_USA",Santa Monica,34.02,-118.48,78
London_court_jails_man_after_Dark_Web_ricin_sting,London,51.50,-0.12,79
London_court_jails_man_after_Dark_Web_ricin_sting,Liverpool,53.4,-3,79
London_court_jails_man_after_Dark_Web_ricin_sting,UK,55,-3,79
"Over_250_dead_in_Haiti_cholera_outbreak,_thousands_infected",Port-au-Prince,18.53,-72.33,80
"Over_250_dead_in_Haiti_cholera_outbreak,_thousands_infected",Artibonite,19.45,-72.68,80
"Over_250_dead_in_Haiti_cholera_outbreak,_thousands_infected",Saint-Marc,19.11,-72.7,80
"Over_250_dead_in_Haiti_cholera_outbreak,_thousands_infected",US,40,-100,80
Nearly_200_dead_in_Haitian_cholera_outbreak,Haiti,19,-72.41,81
Nearly_200_dead_in_Haitian_cholera_outbreak,Central Plateau,19.16,-72,81
Nearly_200_dead_in_Haitian_cholera_outbreak,Artibonite,19.45,-72.68,81
Nearly_200_dead_in_Haitian_cholera_outbreak,Port-Au-Prince,18.53,-72.33,81
Nearly_200_dead_in_Haitian_cholera_outbreak,St. Nicolas,19.8,-73.38,81
Nearly_200_dead_in_Haitian_cholera_outbreak,St. Marc,19.11,-72.7,81
Cholera_outbreak_hits_Angola,Angola,-12.5,18.5,82
Cholera_outbreak_hits_Angola,Luanda,-8.83,13.23,82
At_least_nine_dead_after_cholera_outbreak_in_Kenyan_slum,Kenya,1,38,83
At_least_nine_dead_after_cholera_outbreak_in_Kenyan_slum,Nairobi,-1.28,36.81,83
At_least_nine_dead_after_cholera_outbreak_in_Kenyan_slum,Mukuru kwa Njenga,-1.30,36.88,83
At_least_nine_dead_after_cholera_outbreak_in_Kenyan_slum,Mukuru,-1.30,36.88,83
Five_cholera_deaths_recorded_in_Zimbabwe_amid_fears_of_new_epidemic,Mashonaland West,-17,29.5,84
Five_cholera_deaths_recorded_in_Zimbabwe_amid_fears_of_new_epidemic,Midlands,-19,30,84
Five_cholera_deaths_recorded_in_Zimbabwe_amid_fears_of_new_epidemic,Manicaland,-19,32.5,84
Five_cholera_deaths_recorded_in_Zimbabwe_amid_fears_of_new_epidemic,Masvingo,-21,31,84
Five_cholera_deaths_recorded_in_Zimbabwe_amid_fears_of_new_epidemic,Zimbabwe,-20,30,84
"Over_60_dead_in_Kenya_cholera_outbreak,_state_issues_alert",Kenya,1,38,85
"Over_60_dead_in_Kenya_cholera_outbreak,_state_issues_alert",Nyanza Province,-0.5,34.66,85
"Over_60_dead_in_Kenya_cholera_outbreak,_state_issues_alert",Nyanza,-0.5,34.66,85
"Over_60_dead_in_Kenya_cholera_outbreak,_state_issues_alert",Rift Valley,0.5,36,85
"Over_60_dead_in_Kenya_cholera_outbreak,_state_issues_alert",North Eastern,1,40.25,85
"Over_60_dead_in_Kenya_cholera_outbreak,_state_issues_alert",Western,0.5,34.58,85
"Over_60_dead_in_Kenya_cholera_outbreak,_state_issues_alert",North Eastern Province,1,40.25,85
"Over_60_dead_in_Kenya_cholera_outbreak,_state_issues_alert",Rift Valley Province,0.5,36,85
"Over_60_dead_in_Kenya_cholera_outbreak,_state_issues_alert",Suba,-0.33,34.2,85
"Over_60_dead_in_Kenya_cholera_outbreak,_state_issues_alert",Migori,-0.66,34.83,85
"Over_60_dead_in_Kenya_cholera_outbreak,_state_issues_alert",Homa Bay,-0.68,34.45,85
"Over_60_dead_in_Kenya_cholera_outbreak,_state_issues_alert",Rongo,-0.75,34.58,85
"Over_60_dead_in_Kenya_cholera_outbreak,_state_issues_alert",Siaya,0.06,34.28,85
"Over_60_dead_in_Kenya_cholera_outbreak,_state_issues_alert",Kisumu,-0.25,34.91,85
"Over_60_dead_in_Kenya_cholera_outbreak,_state_issues_alert",Bondo,-0.09,34.27,85
"Over_60_dead_in_Kenya_cholera_outbreak,_state_issues_alert",Nyando,-0.28,35.11,85
"Over_60_dead_in_Kenya_cholera_outbreak,_state_issues_alert",Kisii,-0.66,34.75,85
"Over_60_dead_in_Kenya_cholera_outbreak,_state_issues_alert",Wajir,1.74,40.06,85
"Over_60_dead_in_Kenya_cholera_outbreak,_state_issues_alert",Mandera,3.41,40.66,85
"Over_60_dead_in_Kenya_cholera_outbreak,_state_issues_alert",Naivasha,-0.72,36.42,85
"Over_60_dead_in_Kenya_cholera_outbreak,_state_issues_alert",Nakuru,-0.5,36,85
"Over_60_dead_in_Kenya_cholera_outbreak,_state_issues_alert",Bunyala,0.1,33.97,85
"Over_60_dead_in_Kenya_cholera_outbreak,_state_issues_alert",Nairobi,-1.28,36.81,85
Sharp_increase_in_number_of_Zimbabwean_cholera_deaths,Zimbabwe,-20,30,86
Sharp_increase_in_number_of_Zimbabwean_cholera_deaths,Harare,-17.86,31.02,86
Sharp_increase_in_number_of_Zimbabwean_cholera_deaths,Beitbridge,-22.21,30,86
Sharp_increase_in_number_of_Zimbabwean_cholera_deaths,South Africa,-30,25,86
Sharp_increase_in_number_of_Zimbabwean_cholera_deaths,United Kingdom,55,-3,86
"West_African_cholera_claims_more_than_500_lives,_more_deaths_feared",West Africa,18.31,-4.83,87
"West_African_cholera_claims_more_than_500_lives,_more_deaths_feared",Burkina Faso,13,-2,87
"West_African_cholera_claims_more_than_500_lives,_more_deaths_feared",Cote d'Ivoire,8,-5,87
"West_African_cholera_claims_more_than_500_lives,_more_deaths_feared",Guinea,11,-10,87
"West_African_cholera_claims_more_than_500_lives,_more_deaths_feared",Guinea-Bissau,12,-15,87
"West_African_cholera_claims_more_than_500_lives,_more_deaths_feared",Liberia,6.5,-9.5,87
"West_African_cholera_claims_more_than_500_lives,_more_deaths_feared",Mauritania,20,-12,87
"West_African_cholera_claims_more_than_500_lives,_more_deaths_feared",Mali,17,-4,87
"West_African_cholera_claims_more_than_500_lives,_more_deaths_feared",Niger,16,8,87
"West_African_cholera_claims_more_than_500_lives,_more_deaths_feared",Senegal,14,-14,87
"West_African_cholera_claims_more_than_500_lives,_more_deaths_feared",Central Africa,-2.02,24.69,87
"West_African_cholera_claims_more_than_500_lives,_more_deaths_feared",Nigeria,8,10,87
"West_African_cholera_claims_more_than_500_lives,_more_deaths_feared",Cameroon,6,12,87
"West_African_cholera_claims_more_than_500_lives,_more_deaths_feared",Chad,15,19,87
Six_aid_workers_dead_in_ambush_in_South_Sudan,South Sudan,8,30,88
Six_aid_workers_dead_in_ambush_in_South_Sudan,Juba,4.85,31.6,88
Six_aid_workers_dead_in_ambush_in_South_Sudan,Pibor,6.8,33.13,88
"Ritual_sacrifice_in_Nepal_sees_320,000_animals_slaughtered_to_Hindu_goddess",Nepal,28.16,84.25,89
"Ritual_sacrifice_in_Nepal_sees_320,000_animals_slaughtered_to_Hindu_goddess",Bariyarpur,26.98,85.05,89
"Ritual_sacrifice_in_Nepal_sees_320,000_animals_slaughtered_to_Hindu_goddess",India,21,78,89
Thousands_displaced_after_heavy_flooding_in_Burkina_Faso,Burkina Faso,13,-2,90
Thousands_displaced_after_heavy_flooding_in_Burkina_Faso,Ouagadougou,12.35,-1.53,90
Thousands_displaced_after_heavy_flooding_in_Burkina_Faso,Benin,6.46,2.6,90
Thousands_displaced_after_heavy_flooding_in_Burkina_Faso,Ghana,7.81,-1.05,90
Thousands_displaced_after_heavy_flooding_in_Burkina_Faso,Guinea,11,-10,90
Thousands_displaced_after_heavy_flooding_in_Burkina_Faso,Niger,16,8,90
Thousands_displaced_after_heavy_flooding_in_Burkina_Faso,Senegal,14,-14,90
Death_toll_in_Indonesian_tsunami_continues_to_rise,Java,-7.49,110.00,91
Death_toll_in_Indonesian_tsunami_continues_to_rise,Pangandaran,-7.72,108.49,91
Death_toll_in_Indonesian_tsunami_continues_to_rise,Indonesia,-5,120,91
Death_toll_in_Indonesian_tsunami_continues_to_rise,US,40,-100,91
"Britain_unveils_flu_pandemic_preparedness_plan,_buys_14m_courses_of_treatment_drug",United Kingdom,55,-3,92
"Britain_unveils_flu_pandemic_preparedness_plan,_buys_14m_courses_of_treatment_drug",UK,55,-3,92
"Britain_unveils_flu_pandemic_preparedness_plan,_buys_14m_courses_of_treatment_drug",Canada,60,-95,92
"Britain_unveils_flu_pandemic_preparedness_plan,_buys_14m_courses_of_treatment_drug",Australia,-25,133,92
"Britain_unveils_flu_pandemic_preparedness_plan,_buys_14m_courses_of_treatment_drug",U.S.,40,-100,92
2014_flu_season_in_USA,United States,40,-100,93
2014_flu_season_in_USA,Arkansas,34.8,-92.2,93
2014_flu_season_in_USA,Colorado,39,-105.5,93
2014_flu_season_in_USA,Delaware,39,-75.5,93
2014_flu_season_in_USA,Idaho,45,-114,93
2014_flu_season_in_USA,Maine,45.5,-69,93
2014_flu_season_in_USA,Montana,47,-110,93
2014_flu_season_in_USA,New Hampshire,44,-71.5,93
2014_flu_season_in_USA,North Carolina,35.5,-80,93
2014_flu_season_in_USA,Rhode Island,41.7,-71.5,93
2014_flu_season_in_USA,Vermont,44,-72.7,93
2014_flu_season_in_USA,Virginia,37.5,-79,93
2014_flu_season_in_USA,West Virginia,39,-80.5,93
2014_flu_season_in_USA,Alabama,32.7,-86.7,93
2014_flu_season_in_USA,US,40,-100,93
"Healthcare_workers,_public_officials_struggle_to_address_influenza_outbreak_across_much_of_U.S.",United States,40,-100,94
"Healthcare_workers,_public_officials_struggle_to_address_influenza_outbreak_across_much_of_U.S.",Boston,42.35,-71.06,94
"Healthcare_workers,_public_officials_struggle_to_address_influenza_outbreak_across_much_of_U.S.",Texas,31,-100,94
"Healthcare_workers,_public_officials_struggle_to_address_influenza_outbreak_across_much_of_U.S.",New York,43,-75,94
World_Health_Organisation:_China_engaging_in_bird_flu_cover_up,Beijing,39.91,116.38,95
World_Health_Organisation:_China_engaging_in_bird_flu_cover_up,People's Republic of China,35,103,95
World_Health_Organisation:_China_engaging_in_bird_flu_cover_up,Asia,29.84,89.29,95
World_Health_Organisation:_China_engaging_in_bird_flu_cover_up,Hong Kong,22.3,114.2,95
World_Health_Organisation:_China_engaging_in_bird_flu_cover_up,China,35,103,95
World_Health_Organisation:_China_engaging_in_bird_flu_cover_up,Russia,60,90,95
World_Health_Organisation:_China_engaging_in_bird_flu_cover_up,Vietnam,16.16,107.83,95
72_hour_Australia_wide_ban_on_horse_movements,Australia,-25,133,96
72_hour_Australia_wide_ban_on_horse_movements,Sydney,-33.86,151.20,96
72_hour_Australia_wide_ban_on_horse_movements,New South Wales,-32.16,147.01,96
72_hour_Australia_wide_ban_on_horse_movements,NSW,-32.16,147.01,96
72_hour_Australia_wide_ban_on_horse_movements,Eastern Creek,-33.79,150.86,96
72_hour_Australia_wide_ban_on_horse_movements,Spotswood,-37.83,144.88,96
72_hour_Australia_wide_ban_on_horse_movements,Victoria,-37,144,96
72_hour_Australia_wide_ban_on_horse_movements,New Zealand,-42,174,96
Horse_flu_spreads_in_Australia,Australia,-25,133,97
Horse_flu_spreads_in_Australia,New South Wales,-32.16,147.01,97
Horse_flu_spreads_in_Australia,NSW,-32.16,147.01,97
Horse_flu_spreads_in_Australia,Eastern Creek,-33.79,150.86,97
Horse_flu_spreads_in_Australia,Centennial Park,-33.90,151.23,97
Horse_flu_spreads_in_Australia,Sydney,-33.86,151.20,97
Horse_flu_spreads_in_Australia,Cattai,-33.55,150.91,97
Horse_flu_spreads_in_Australia,Wilberforce,-33.55,150.84,97
Horse_flu_spreads_in_Australia,Moonbi,-31.01,151.06,97
Horse_flu_spreads_in_Australia,Parkes,-33.13,148.16,97
Horse_flu_spreads_in_Australia,Berry,-34.77,150.69,97
Horse_flu_spreads_in_Australia,Wyong,-33.28,151.41,97
Horse_flu_spreads_in_Australia,Warwick,-28.21,152.01,97
Horse_flu_spreads_in_Australia,Queensland,-23,143,97
Horse_flu_spreads_in_Australia,Brisbane,-27.46,153.03,97
Horse_flu_spreads_in_Australia,Victoria,-37,144,97
Horse_flu_spreads_in_Australia,Randwick,-33.91,151.23,97
Horse_flu_spreads_in_Australia,Maitland,-32.71,151.55,97
Swine_flu_reported_in_more_countries,Mexico,23,-102,98
Swine_flu_reported_in_more_countries,United States,40,-100,98
Swine_flu_reported_in_more_countries,Canada,60,-95,98
Swine_flu_reported_in_more_countries,United Kingdom,55,-3,98
Swine_flu_reported_in_more_countries,Spain,40,-4,98
Swine_flu_reported_in_more_countries,New Zealand,-42,174,98
Swine_flu_reported_in_more_countries,Israel,31,35,98
Swine_flu_reported_in_more_countries,Texas,31,-100,98
Swine_flu_reported_in_more_countries,Mexico City,19.43,-99.13,98
Swine_flu_reported_in_more_countries,California,37,-120,98
Swine_flu_reported_in_more_countries,Kansas,38.5,-98,98
Swine_flu_reported_in_more_countries,Ohio,40.5,-82.5,98
Swine_flu_reported_in_more_countries,New York,43,-75,98
Swine_flu_reported_in_more_countries,US,40,-100,98
Swine_flu_reported_in_more_countries,South Korea,36,128,98
Hong_Kong_flu_kills_six_in_Japan,Kitaakita,40.22,140.37,99
Hong_Kong_flu_kills_six_in_Japan,Akita Prefecture,39.71,140.10,99
Hong_Kong_flu_kills_six_in_Japan,Japan,35,136,99
"Drug-resistant_flu_rising,_says_WHO",United States,40,-100,100
"Drug-resistant_flu_rising,_says_WHO",Canada,60,-95,100
"Drug-resistant_flu_rising,_says_WHO",Europe,51,17.5,100
"Drug-resistant_flu_rising,_says_WHO",U.S.,40,-100,100
"Drug-resistant_flu_rising,_says_WHO",Norway,61,8,100
"Drug-resistant_flu_rising,_says_WHO",Japan,35,136,100
"Drug-resistant_flu_rising,_says_WHO",Hong Kong,22.3,114.2,100
US_declares_public_health_emergency_over_spread_of_swine_flu,U.S.,40,-100,101
US_declares_public_health_emergency_over_spread_of_swine_flu,United States,40,-100,101
US_declares_public_health_emergency_over_spread_of_swine_flu,New York City,40.71,-74.00,101
US_declares_public_health_emergency_over_spread_of_swine_flu,Queens,40.75,-73.86,101
US_declares_public_health_emergency_over_spread_of_swine_flu,New York,40.71,-74.00,101
US_declares_public_health_emergency_over_spread_of_swine_flu,Ohio,40.5,-82.5,101
US_declares_public_health_emergency_over_spread_of_swine_flu,California,37,-120,101
US_declares_public_health_emergency_over_spread_of_swine_flu,Kansas,38.5,-98,101
US_declares_public_health_emergency_over_spread_of_swine_flu,Texas,31,-100,101
Indonesian_suspected_bird_flu_case_dies,Sukoharjo,-7.68,110.83,102
Indonesian_suspected_bird_flu_case_dies,Central Java,-7.5,110,102
Indonesian_suspected_bird_flu_case_dies,Indonesia,-5,120,102
Indonesian_suspected_bird_flu_case_dies,West Java,-6.75,107.5,102
Indonesian_suspected_bird_flu_case_dies,Yogyakarta,-7.80,110.36,102
Indonesian_suspected_bird_flu_case_dies,Vietnam,16.16,107.83,102
Second_H5N1_infection_reported_in_China,China,35,103,103
Second_H5N1_infection_reported_in_China,Jiangsu,32.9,119.8,103
Sudan_reports_first_bird_flu_case,Khartoum,15.50,32.56,104
Sudan_reports_first_bird_flu_case,Al Jazirah,14.5,33.5,104
Sudan_reports_first_bird_flu_case,Sudan,15,32,104
Sudan_reports_first_bird_flu_case,Europe,51,17.5,104
Sudan_reports_first_bird_flu_case,Africa,7.18,21.09,104
Sudan_reports_first_bird_flu_case,Egypt,26,30,104
Sudan_reports_first_bird_flu_case,Asia,29.84,89.29,104
Sudan_reports_first_bird_flu_case,Middle East,33.13,35.85,104
%22No_H5N1_virus%22_found_in_blood_tests_of_suspected_human_Bird_Flu_cluster,Kabanjahe,3.1,98.5,105
%22No_H5N1_virus%22_found_in_blood_tests_of_suspected_human_Bird_Flu_cluster,Sumatra,0,102,105
%22No_H5N1_virus%22_found_in_blood_tests_of_suspected_human_Bird_Flu_cluster,Indonesia,-5,120,105
%22No_H5N1_virus%22_found_in_blood_tests_of_suspected_human_Bird_Flu_cluster,Atlanta,33.75,-84.39,105
%22No_H5N1_virus%22_found_in_blood_tests_of_suspected_human_Bird_Flu_cluster,Georgia,33,-83.5,105
%22No_H5N1_virus%22_found_in_blood_tests_of_suspected_human_Bird_Flu_cluster,U.S.,40,-100,105
Pope_to_leave_hospital,Rome,41.9,12.5,106
Pope_to_leave_hospital,Vatican,41.9,12.45,106
Pope_to_leave_hospital,St. Peter's Square,41.90,12.45,106
New_laws_to_combat_%27endemic%27_Hong_Kong_bird_flu,Hong Kong,22.3,114.2,107
New_laws_to_combat_%27endemic%27_Hong_Kong_bird_flu,China,35,103,107
New_laws_to_combat_%27endemic%27_Hong_Kong_bird_flu,Asia,29.84,89.29,107
New_laws_to_combat_%27endemic%27_Hong_Kong_bird_flu,Vietnam,16.16,107.83,107
New_laws_to_combat_%27endemic%27_Hong_Kong_bird_flu,Indonesia,-5,120,107
New_laws_to_combat_%27endemic%27_Hong_Kong_bird_flu,Laos,18,105,107
New_laws_to_combat_%27endemic%27_Hong_Kong_bird_flu,Cambodia,13,105,107
New_laws_to_combat_%27endemic%27_Hong_Kong_bird_flu,Thailand,15.4,101.3,107
Turkish_teenager_dies_from_bird_flu,Turkey,39,35,108
Turkish_teenager_dies_from_bird_flu,Van,38.49,43.38,108
