,SNE Name,lat,lng,Country Code,Type,Population,source
247,Queen Anne,38.92095,-75.95522,US,P,216,%22Low_pathogenic%22_H5N1_Bird_Flu_virus_found_in_wild_ducks_in_Maryland_and_Pennsylvania
248,Maryland,39.00039,-76.74997,US,A,5624246,%22Low_pathogenic%22_H5N1_Bird_Flu_virus_found_in_wild_ducks_in_Maryland_and_Pennsylvania
249,Alabama,32.75041,-86.75026,US,A,4530315,"Alabama_postal_workers_and_customers_become_ill,_suspicious_substance_found"
250,Hueytown,33.45122,-86.99666,US,P,15710,"Alabama_postal_workers_and_customers_become_ill,_suspicious_substance_found"
251,Birmingham,33.52066,-86.80249,US,P,212461,"Alabama_postal_workers_and_customers_become_ill,_suspicious_substance_found"
252,Mississauga,43.5789,-79.6583,CA,P,668549,US:_Melamine_from_contaminated_pet_food_enters_human_food_chain
253,United States,39.76,-98.5,US,A,327167434,US:_Melamine_from_contaminated_pet_food_enters_human_food_chain
254,Ceres,37.59493,-120.95771,US,P,47963,US:_Melamine_from_contaminated_pet_food_enters_human_food_chain
255,China,35,105,CN,A,1392730000,US:_Melamine_from_contaminated_pet_food_enters_human_food_chain
256,California,37.25022,-119.75126,US,A,39512223,US:_Melamine_from_contaminated_pet_food_enters_human_food_chain
257,Ontario,34.06334,-117.65089,US,P,171214,US:_Melamine_from_contaminated_pet_food_enters_human_food_chain
258,Canada,60.10867,-113.64258,CA,A,37058856,US:_Melamine_from_contaminated_pet_food_enters_human_food_chain
259,Spain,40,-4,ES,A,46723749,Swine_flu_reported_in_more_countries
260,Mexico City,19.42847,-99.12766,MX,P,12294193,Swine_flu_reported_in_more_countries
261,Kansas,38.50029,-98.50063,US,A,2740759,Swine_flu_reported_in_more_countries
262,United Kingdom,54.75844,-2.69531,GB,A,66488991,Swine_flu_reported_in_more_countries
263,Ohio,38.9501,-84.96503,US,A,6128,Swine_flu_reported_in_more_countries
264,United States,39.76,-98.5,US,A,327167434,Swine_flu_reported_in_more_countries
265,South Korea,36.5,127.75,KR,A,51635256,Swine_flu_reported_in_more_countries
266,New Zealand,-42,174,NZ,A,4885500,Swine_flu_reported_in_more_countries
267,Texas,36.74791,-101.49001,US,A,20640,Swine_flu_reported_in_more_countries
268,Mexico,23,-102,MX,A,126190788,Swine_flu_reported_in_more_countries
269,New York,40.77427,-73.96981,US,A,1585873,Swine_flu_reported_in_more_countries
270,California,37.25022,-119.75126,US,A,39512223,Swine_flu_reported_in_more_countries
271,Canada,60.10867,-113.64258,CA,A,37058856,Swine_flu_reported_in_more_countries
272,Israel,16.815,-92.09444,MX,P,255,Swine_flu_reported_in_more_countries
273,United States,39.76,-98.5,US,A,327167434,Bacterial_outbreak_forces_closure_of_Toronto_hospital_neo-natal_unit
274,New York,40.77427,-73.96981,US,A,1585873,Bacterial_outbreak_forces_closure_of_Toronto_hospital_neo-natal_unit
275,Buffalo,42.88645,-78.87837,US,P,258071,Bacterial_outbreak_forces_closure_of_Toronto_hospital_neo-natal_unit
276,Toronto,40.46423,-80.60091,US,P,4882,Bacterial_outbreak_forces_closure_of_Toronto_hospital_neo-natal_unit
277,Ontario,34.06334,-117.65089,US,P,171214,Bacterial_outbreak_forces_closure_of_Toronto_hospital_neo-natal_unit
278,Canada,60.10867,-113.64258,CA,A,37058856,Bacterial_outbreak_forces_closure_of_Toronto_hospital_neo-natal_unit
279,Zimbabwe,-20.26667,30.91667,ZW,P,0,Five_cholera_deaths_recorded_in_Zimbabwe_amid_fears_of_new_epidemic
280,Masvingo,-19.40928,31.87364,ZW,P,0,Five_cholera_deaths_recorded_in_Zimbabwe_amid_fears_of_new_epidemic
281,Manicaland,-19,32.41667,ZW,A,1590136,Five_cholera_deaths_recorded_in_Zimbabwe_amid_fears_of_new_epidemic
282,Mashonaland West,-17.16667,29.75,ZW,A,1270629,Five_cholera_deaths_recorded_in_Zimbabwe_amid_fears_of_new_epidemic
283,Midlands,-17.90444,31.01417,ZW,P,0,Five_cholera_deaths_recorded_in_Zimbabwe_amid_fears_of_new_epidemic
284,Massachusetts,42.36565,-71.10832,US,A,6433422,Mosquitoes_test_positive_for_West_Nile_virus_in_Rhode_Island
285,Rhode Island,41.75038,-71.49978,US,A,1050292,Mosquitoes_test_positive_for_West_Nile_virus_in_Rhode_Island
286,East Providence,41.81371,-71.37005,US,P,47408,Mosquitoes_test_positive_for_West_Nile_virus_in_Rhode_Island
287,Barrington,41.74066,-71.30866,US,P,16669,Mosquitoes_test_positive_for_West_Nile_virus_in_Rhode_Island
288,Cedar City,38.59726,-92.17963,US,P,0,U.S._Democrats_highlight_water_quality_issues_for_troops_in_Iraq
289,Iraq,33,44,IQ,A,38433600,U.S._Democrats_highlight_water_quality_issues_for_troops_in_Iraq
290,Kuwait,29.5,47.75,KW,A,4137309,U.S._Democrats_highlight_water_quality_issues_for_troops_in_Iraq
291,Ås,59.66366,10.79101,NO,A,15863,U.S._Democrats_highlight_water_quality_issues_for_troops_in_Iraq
292,Utah,39.25024,-111.75103,US,A,2427340,U.S._Democrats_highlight_water_quality_issues_for_troops_in_Iraq
293,Somalia,6,48,SO,A,15008154,"Tsunami_deaths_mount_to_more_than_120,000"
294,Malaysia,2.5,112.5,MY,A,31528585,"Tsunami_deaths_mount_to_more_than_120,000"
295,Maldives,3.2,73,MV,A,515696,"Tsunami_deaths_mount_to_more_than_120,000"
296,Tanzania,-6,35,TZ,A,56318348,"Tsunami_deaths_mount_to_more_than_120,000"
297,Myanmar,21,96,MM,A,53708395,"Tsunami_deaths_mount_to_more_than_120,000"
298,India,22,79,IN,A,1352617328,"Tsunami_deaths_mount_to_more_than_120,000"
299,Sri Lanka,7.75,80.75,LK,A,21670000,"Tsunami_deaths_mount_to_more_than_120,000"
300,Bangladesh,24,90,BD,A,161356039,"Tsunami_deaths_mount_to_more_than_120,000"
301,Indonesia,-5,120,ID,A,267663435,"Tsunami_deaths_mount_to_more_than_120,000"
302,Sweden,62,15,SE,A,10183175,"Tsunami_deaths_mount_to_more_than_120,000"
303,Aceh,4,97,ID,A,4748085,"Tsunami_deaths_mount_to_more_than_120,000"
304,Kenya,1,38,KE,A,51393010,"Tsunami_deaths_mount_to_more_than_120,000"
305,Nepal,28,84,NP,A,28087871,"Ritual_sacrifice_in_Nepal_sees_320,000_animals_slaughtered_to_Hindu_goddess"
306,India,22,79,IN,A,1352617328,"Ritual_sacrifice_in_Nepal_sees_320,000_animals_slaughtered_to_Hindu_goddess"
307,Bariyarpur,26.9378,85.3477,NP,A,0,"Ritual_sacrifice_in_Nepal_sees_320,000_animals_slaughtered_to_Hindu_goddess"
308,Kisumu,-0.069,34.64,KE,A,968909,Swine_flu_patients_taken_to_Kenyan_capital_to_fly_home_to_UK_Sunday
309,United Kingdom,54.75844,-2.69531,GB,A,66488991,Swine_flu_patients_taken_to_Kenyan_capital_to_fly_home_to_UK_Sunday
310,Garissa,-0.45275,39.64601,KE,P,67861,Swine_flu_patients_taken_to_Kenyan_capital_to_fly_home_to_UK_Sunday
311,Ukraine,49,32,UA,A,44622516,Swine_flu_patients_taken_to_Kenyan_capital_to_fly_home_to_UK_Sunday
312,East,3.83333,14.16667,CM,A,836906,Swine_flu_patients_taken_to_Kenyan_capital_to_fly_home_to_UK_Sunday
313,Kenya,1,38,KE,A,51393010,Swine_flu_patients_taken_to_Kenyan_capital_to_fly_home_to_UK_Sunday
314,Nairobi,-1.28333,36.83333,KE,A,3138369,Swine_flu_patients_taken_to_Kenyan_capital_to_fly_home_to_UK_Sunday
315,Nottingham,52.96667,-1.15,GB,A,325282,Swine_flu_patients_taken_to_Kenyan_capital_to_fly_home_to_UK_Sunday
316,Kaluamba,-9.2466,25.09805,CD,P,0,WHO_investigates_outbreak_of_unidentified_illness_in_Democratic_Republic_of_the_Congo
317,Kasaï-Occidental,-5.33333,21.58333,CD,A,4545940,WHO_investigates_outbreak_of_unidentified_illness_in_Democratic_Republic_of_the_Congo
318,Kampungu,-5.21801,21.42734,CD,P,0,WHO_investigates_outbreak_of_unidentified_illness_in_Democratic_Republic_of_the_Congo
319,Mombo,-5.16877,21.35683,CD,P,0,WHO_investigates_outbreak_of_unidentified_illness_in_Democratic_Republic_of_the_Congo
320,Texas,36.74791,-101.49001,US,A,20640,HIV-positive_man_receives_35_years_for_spitting_on_Dallas_police_officer
321,Dallas,33.92371,-84.84077,US,P,12870,HIV-positive_man_receives_35_years_for_spitting_on_Dallas_police_officer
322,Dallas,32.76663,-96.77787,US,A,2368139,HIV-positive_man_receives_35_years_for_spitting_on_Dallas_police_officer
323,Guinea-Bissau,12,-15,GW,A,1874309,"West_African_cholera_claims_more_than_500_lives,_more_deaths_feared"
324,Niger,18,9,NE,A,22442948,"West_African_cholera_claims_more_than_500_lives,_more_deaths_feared"
325,Cameroon,6,12.5,CM,A,25216237,"West_African_cholera_claims_more_than_500_lives,_more_deaths_feared"
326,Nigeria,10,8,NG,A,195874740,"West_African_cholera_claims_more_than_500_lives,_more_deaths_feared"
327,Burkina Faso,12.5,-1.66667,BF,A,19751535,"West_African_cholera_claims_more_than_500_lives,_more_deaths_feared"
328,Guinea,10.83333,-10.66667,GN,A,12414318,"West_African_cholera_claims_more_than_500_lives,_more_deaths_feared"
329,Mauritania,20.25,-10.5,MR,A,4403319,"West_African_cholera_claims_more_than_500_lives,_more_deaths_feared"
330,West,5.5,10.66667,CM,A,1339791,"West_African_cholera_claims_more_than_500_lives,_more_deaths_feared"
331,Central,-22,26,BW,A,188174,"West_African_cholera_claims_more_than_500_lives,_more_deaths_feared"
332,Mali,12.08333,-12.08333,GN,A,288001,"West_African_cholera_claims_more_than_500_lives,_more_deaths_feared"
333,Senegal,14.5,-14.25,SN,A,15854360,"West_African_cholera_claims_more_than_500_lives,_more_deaths_feared"
334,Chad,15,19,TD,A,15477751,"West_African_cholera_claims_more_than_500_lives,_more_deaths_feared"
335,Liberia,6.5,-9.5,LR,A,4818977,"West_African_cholera_claims_more_than_500_lives,_more_deaths_feared"
336,Jakarta,-6.21462,106.84513,ID,P,8540121,Peruvians_sue_Newmont_Mining_Company_over_mercury_poisoning
337,United States,39.76,-98.5,US,A,327167434,Peruvians_sue_Newmont_Mining_Company_over_mercury_poisoning
338,Choropampa,-6.42308,-78.34672,PE,P,320,Peruvians_sue_Newmont_Mining_Company_over_mercury_poisoning
339,Indonesia,-5,120,ID,A,267663435,Peruvians_sue_Newmont_Mining_Company_over_mercury_poisoning
340,Ås,59.66366,10.79101,NO,A,15863,Peruvians_sue_Newmont_Mining_Company_over_mercury_poisoning
341,Yanacocha,-10.47135,-76.50188,PE,P,553,Peruvians_sue_Newmont_Mining_Company_over_mercury_poisoning
342,Peru,-10,-75.25,PE,A,31989256,Peruvians_sue_Newmont_Mining_Company_over_mercury_poisoning
343,Denver,39.73915,-104.9847,US,P,715522,Peruvians_sue_Newmont_Mining_Company_over_mercury_poisoning
344,San Juan,-3.77611,-73.28139,PE,P,78153,Peruvians_sue_Newmont_Mining_Company_over_mercury_poisoning
345,Cajamarca,-6.25,-78.83333,PE,A,1359023,Peruvians_sue_Newmont_Mining_Company_over_mercury_poisoning
346,Magdalena,-7.22473,-78.62238,PE,A,0,Peruvians_sue_Newmont_Mining_Company_over_mercury_poisoning
347,Nigeria,10,8,NG,A,195874740,Scottish_Ebola_nurse_Pauline_Cafferkey_%27critically_ill%27_says_Royal_Free_Hospital
348,Zamfara State,12.16667,6.25,NG,A,3602356,Scottish_Ebola_nurse_Pauline_Cafferkey_%27critically_ill%27_says_Royal_Free_Hospital
349,London,51.50853,-0.12574,GB,P,8961989,Scottish_Ebola_nurse_Pauline_Cafferkey_%27critically_ill%27_says_Royal_Free_Hospital
350,Glasgow,55.86515,-4.25763,GB,P,591620,Scottish_Ebola_nurse_Pauline_Cafferkey_%27critically_ill%27_says_Royal_Free_Hospital
351,Sierra Leone,8.5,-11.5,SL,A,7650154,Scottish_Ebola_nurse_Pauline_Cafferkey_%27critically_ill%27_says_Royal_Free_Hospital
352,Dominican Republic,19,-70.66667,DO,A,10627165,"%27Explosive%27_Haitian_cholera_outbreak_kills_292,_neighboring_countries_prepare"
353,Port-au-Prince,18.52557,-72.33697,HT,A,0,"%27Explosive%27_Haitian_cholera_outbreak_kills_292,_neighboring_countries_prepare"
354,Jamaica,18.16667,-77.25,JM,A,2934855,"%27Explosive%27_Haitian_cholera_outbreak_kills_292,_neighboring_countries_prepare"
355,Haiti,19.80158,-71.31936,DO,A,0,"%27Explosive%27_Haitian_cholera_outbreak_kills_292,_neighboring_countries_prepare"
356,Buskerud,59.7484,10.1891,NO,A,253006,Norway_takes_action_to_prevent_a_possible_bird_flu_epidemic
357,Vest-Agder,58.1513,7.9947,NO,A,161276,Norway_takes_action_to_prevent_a_possible_bird_flu_epidemic
358,Telemark,59.2161,9.6112,NO,A,170643,Norway_takes_action_to_prevent_a_possible_bird_flu_epidemic
359,Oppland,61.1163,10.4622,NO,A,183851,Norway_takes_action_to_prevent_a_possible_bird_flu_epidemic
360,Rogaland,59.09608,6.20442,NO,A,393104,Norway_takes_action_to_prevent_a_possible_bird_flu_epidemic
361,Aust-Agder,58.4643,8.768,NO,A,106842,Norway_takes_action_to_prevent_a_possible_bird_flu_epidemic
362,Vestfold,59.2654,10.4159,NO,A,236424,Norway_takes_action_to_prevent_a_possible_bird_flu_epidemic
363,Akershus,60,11.16667,NO,A,523272,Norway_takes_action_to_prevent_a_possible_bird_flu_epidemic
364,Indre Østfold,59.59654,11.21635,NO,A,0,Norway_takes_action_to_prevent_a_possible_bird_flu_epidemic
365,Oslo,59.91273,10.74609,NO,P,580000,Norway_takes_action_to_prevent_a_possible_bird_flu_epidemic
366,Hedmark,60.7953,11.0827,NO,A,188376,Norway_takes_action_to_prevent_a_possible_bird_flu_epidemic
367,Russia,60,100,RU,A,144478050,Norway_takes_action_to_prevent_a_possible_bird_flu_epidemic
368,Pakistan,30,70,PK,A,212215030,"Spreading_floods_in_Pakistan_worsen,_at_least_1600_dead"
369,Khyber Pakhtunkhwa,33.98306,71.68611,PK,A,22000000,"Spreading_floods_in_Pakistan_worsen,_at_least_1600_dead"
370,Britain,39.25288,-77.69694,US,P,0,"Spreading_floods_in_Pakistan_worsen,_at_least_1600_dead"
371,Malaysia,2.5,112.5,MY,A,31528585,"Spreading_floods_in_Pakistan_worsen,_at_least_1600_dead"
372,Sindh,26.13333,68.76667,PK,A,35992288,"Spreading_floods_in_Pakistan_worsen,_at_least_1600_dead"
373,Ukraine,49,32,UA,A,44622516,"Spreading_floods_in_Pakistan_worsen,_at_least_1600_dead"
374,Ås,59.66366,10.79101,NO,A,15863,"Spreading_floods_in_Pakistan_worsen,_at_least_1600_dead"
375,Punjab,30.85,72.31667,PK,A,85579866,"Spreading_floods_in_Pakistan_worsen,_at_least_1600_dead"
376,Kalam,35.4818,72.57809,PK,P,0,"Spreading_floods_in_Pakistan_worsen,_at_least_1600_dead"
377,Jefferson,29.68097,-90.09798,US,A,432552,Katrina_survivor_searchers_prepare_for_the_worst
378,Saint Bernard,29.87399,-89.82422,US,A,35897,Katrina_survivor_searchers_prepare_for_the_worst
379,Houston,31.31773,-95.42268,US,A,23732,Katrina_survivor_searchers_prepare_for_the_worst
380,Central Business District,47.60818,-122.33488,US,P,0,Katrina_survivor_searchers_prepare_for_the_worst
381,New Orleans,29.95465,-90.07507,US,P,389617,Katrina_survivor_searchers_prepare_for_the_worst
382,India,22,79,IN,A,1352617328,"150,000_street_vendors_in_India_shown_how_to_avoid_causing_%27Delhi_belly%27"
383,Calcutta,40.6734,-80.57646,US,P,3742,"150,000_street_vendors_in_India_shown_how_to_avoid_causing_%27Delhi_belly%27"
384,Delhi,28.6667,77.1,IN,A,16787941,"150,000_street_vendors_in_India_shown_how_to_avoid_causing_%27Delhi_belly%27"
385,Turkey,39,35,TR,A,82319724,UN_warns_neighbours_of_Turkey_about_bird_flu
386,Iran,32,53,IR,A,81800269,UN_warns_neighbours_of_Turkey_about_bird_flu
387,Iraq,33,44,IQ,A,38433600,UN_warns_neighbours_of_Turkey_about_bird_flu
388,Azerbaijan,40.5,47.5,AZ,A,9942334,UN_warns_neighbours_of_Turkey_about_bird_flu
389,Syria,38.58617,-86.40165,US,P,0,UN_warns_neighbours_of_Turkey_about_bird_flu
390,Georgia,32.75042,-83.50018,US,A,8975842,UN_warns_neighbours_of_Turkey_about_bird_flu
391,Armenia,40.25,45,AM,A,2951776,UN_warns_neighbours_of_Turkey_about_bird_flu
392,Turkey,39,35,TR,A,82319724,California_Senate_prohibits_sports_drinks_in_public_schools
393,Iran,32,53,IR,A,81800269,California_Senate_prohibits_sports_drinks_in_public_schools
394,Iraq,33,44,IQ,A,38433600,California_Senate_prohibits_sports_drinks_in_public_schools
395,Azerbaijan,40.5,47.5,AZ,A,9942334,California_Senate_prohibits_sports_drinks_in_public_schools
396,Syria,38.58617,-86.40165,US,P,0,California_Senate_prohibits_sports_drinks_in_public_schools
397,Georgia,32.75042,-83.50018,US,A,8975842,California_Senate_prohibits_sports_drinks_in_public_schools
398,Armenia,40.25,45,AM,A,2951776,California_Senate_prohibits_sports_drinks_in_public_schools
399,California,37.25022,-119.75126,US,A,39512223,California_Senate_prohibits_sports_drinks_in_public_schools
400,Australia,-25,135,AU,A,24992369,Frog-killing_fungus_spreads_across_Panama_Canal_towards_South_America
401,Tortí,8.92151,-78.39845,PA,P,1611,Frog-killing_fungus_spreads_across_Panama_Canal_towards_South_America
402,Panamá,-5.82551,-78.26641,PE,P,76,Frog-killing_fungus_spreads_across_Panama_Canal_towards_South_America
403,Américas,9.89896,-83.67407,CR,P,0,Frog-killing_fungus_spreads_across_Panama_Canal_towards_South_America
404,Ica,-14.3325,-75.49972,PE,A,709556,Frog-killing_fungus_spreads_across_Panama_Canal_towards_South_America
405,Central,-26.23372,-57.1801,PY,A,0,Frog-killing_fungus_spreads_across_Panama_Canal_towards_South_America
406,Panama,9,-80,PA,A,4176873,Frog-killing_fungus_spreads_across_Panama_Canal_towards_South_America
407,Netherlands,52.25,5.75,NL,A,17231017,World_Health_Organization:_Stay_away_from_Ugandan_caves
408,Uganda,1.25,32.5,UG,A,42723139,World_Health_Organization:_Stay_away_from_Ugandan_caves
409,Poland,52,20,PL,A,37978548,New_outbreak_of_H5N1_Avian_Flu_virus_reported_in_Poland
410,Bieżuń,52.96107,19.88976,PL,P,1931,New_outbreak_of_H5N1_Avian_Flu_virus_reported_in_Poland
411,Orneta,54.11483,20.13328,PL,P,9412,New_outbreak_of_H5N1_Avian_Flu_virus_reported_in_Poland
412,Pakistan,30,70,PK,A,212215030,Bad_weather_makes_life_tougher_for_quake_survivors
413,Australia,-25,135,AU,A,24992369,Bad_weather_makes_life_tougher_for_quake_survivors
414,Kashmir,28.52261,65.40442,PK,P,0,Bad_weather_makes_life_tougher_for_quake_survivors
415,Iran,32,53,IR,A,81800269,Bad_weather_makes_life_tougher_for_quake_survivors
416,Jammu and Kashmir,33.5329,75.40781,IN,A,12258433,Bad_weather_makes_life_tougher_for_quake_survivors
417,France,46,2,FR,A,66987244,Bad_weather_makes_life_tougher_for_quake_survivors
418,Japan,35.68536,139.75309,JP,A,126529100,Bad_weather_makes_life_tougher_for_quake_survivors
419,Houston,31.31773,-95.42268,US,A,23732,Bad_weather_makes_life_tougher_for_quake_survivors
420,Russia,60,100,RU,A,144478050,Bad_weather_makes_life_tougher_for_quake_survivors
421,Syria,38.58617,-86.40165,US,P,0,Bad_weather_makes_life_tougher_for_quake_survivors
422,China,35,105,CN,A,1392730000,Bad_weather_makes_life_tougher_for_quake_survivors
423,Jordan,44.66691,-93.6269,US,P,6076,Bad_weather_makes_life_tougher_for_quake_survivors
424,United States,39.76,-98.5,US,A,327167434,California_company_recalls_fresh_spinach_over_salmonella_contamination
425,Canada,60.10867,-113.64258,CA,A,37058856,California_company_recalls_fresh_spinach_over_salmonella_contamination
426,California,37.25022,-119.75126,US,A,39512223,California_company_recalls_fresh_spinach_over_salmonella_contamination
427,Cambodia,13,105,KH,A,16249798,New_laws_to_combat_%27endemic%27_Hong_Kong_bird_flu
428,Laos,18,105,LA,A,7061507,New_laws_to_combat_%27endemic%27_Hong_Kong_bird_flu
429,Vietnam,16.16667,107.83333,VN,A,95540395,New_laws_to_combat_%27endemic%27_Hong_Kong_bird_flu
430,Indonesia,-5,120,ID,A,267663435,New_laws_to_combat_%27endemic%27_Hong_Kong_bird_flu
431,Thailand,15.5,101,TH,A,69428524,New_laws_to_combat_%27endemic%27_Hong_Kong_bird_flu
432,Hong Kong,22.25,114.16667,HK,A,7451000,New_laws_to_combat_%27endemic%27_Hong_Kong_bird_flu
433,Hong Kong,22.95805,-109.93898,MX,P,5,New_laws_to_combat_%27endemic%27_Hong_Kong_bird_flu
434,China,25.51224,-99.00457,MX,A,0,New_laws_to_combat_%27endemic%27_Hong_Kong_bird_flu
435,Turkey,39,35,TR,A,82319724,Turkish_teenager_dies_from_bird_flu
436,Britain,39.25288,-77.69694,US,P,0,Turkish_teenager_dies_from_bird_flu
437,Van,38.40736,43.71779,TR,A,1070113,Turkish_teenager_dies_from_bird_flu
438,Spain,40,-4,ES,A,46723749,FDA_recalls_foreign_meat_used_in_aid_for_victims_of_Hurricane_Katrina
439,Arkansas,34.75037,-92.50044,US,A,2757631,FDA_recalls_foreign_meat_used_in_aid_for_victims_of_Hurricane_Katrina
440,Britain,39.25288,-77.69694,US,P,0,FDA_recalls_foreign_meat_used_in_aid_for_victims_of_Hurricane_Katrina
441,Little Rock,41.71753,-88.57619,US,P,0,FDA_recalls_foreign_meat_used_in_aid_for_victims_of_Hurricane_Katrina
442,Ås,59.66366,10.79101,NO,A,15863,FDA_recalls_foreign_meat_used_in_aid_for_victims_of_Hurricane_Katrina
443,Houston,31.31773,-95.42268,US,A,23732,FDA_recalls_foreign_meat_used_in_aid_for_victims_of_Hurricane_Katrina
444,Italy,42.83333,12.83333,IT,A,60431283,FDA_recalls_foreign_meat_used_in_aid_for_victims_of_Hurricane_Katrina
445,South,2.75,11.58333,CM,A,634655,FDA_recalls_foreign_meat_used_in_aid_for_victims_of_Hurricane_Katrina
446,Israel,31.5,34.75,IL,A,8883800,FDA_recalls_foreign_meat_used_in_aid_for_victims_of_Hurricane_Katrina
447,Vietnam,16.16667,107.83333,VN,A,95540395,US_and_Vietnam_begin_talks_to_decontaminate_areas_affected_by_Agent_Orange
448,United States,39.76,-98.5,US,A,327167434,US_and_Vietnam_begin_talks_to_decontaminate_areas_affected_by_Agent_Orange
449,Houston,31.31773,-95.42268,US,A,23732,US_and_Vietnam_begin_talks_to_decontaminate_areas_affected_by_Agent_Orange
450,Hanoi,21.0245,105.84117,VN,P,8053663,US_and_Vietnam_begin_talks_to_decontaminate_areas_affected_by_Agent_Orange
451,Hohhot,40.81056,111.65222,CN,P,2350000,China_and_Europe_face_new_avian_flu_outbreaks
452,Romania,46,25,RO,A,19473936,China_and_Europe_face_new_avian_flu_outbreaks
453,Macedonia,41.31367,-81.50845,US,P,11686,China_and_Europe_face_new_avian_flu_outbreaks
454,Inner Mongolia,43.5,114.75,CN,A,24259735,China_and_Europe_face_new_avian_flu_outbreaks
455,Russia,60,100,RU,A,144478050,China_and_Europe_face_new_avian_flu_outbreaks
456,Moscow,55.76167,37.60667,RU,A,11503501,China_and_Europe_face_new_avian_flu_outbreaks
457,China,35,105,CN,A,1392730000,China_and_Europe_face_new_avian_flu_outbreaks
458,Irwindale,34.10695,-117.93534,US,P,1437,Taco_Bell_pulls_green_onions_from_all_U.S._and_Canadian_stores
459,Pennsylvania,40.8,-77.7,US,A,12440621,Taco_Bell_pulls_green_onions_from_all_U.S._and_Canadian_stores
460,New Jersey,40.16706,-74.49987,US,A,8751436,Taco_Bell_pulls_green_onions_from_all_U.S._and_Canadian_stores
461,Texas,36.74791,-101.49001,US,A,20640,Taco_Bell_pulls_green_onions_from_all_U.S._and_Canadian_stores
462,New York,40.77427,-73.96981,US,A,1585873,Taco_Bell_pulls_green_onions_from_all_U.S._and_Canadian_stores
463,Ås,59.66366,10.79101,NO,A,15863,Taco_Bell_pulls_green_onions_from_all_U.S._and_Canadian_stores
464,Atlantic,39.46883,-74.63373,US,A,274549,Taco_Bell_pulls_green_onions_from_all_U.S._and_Canadian_stores
465,City of New York,40.66393,-73.93827,US,A,8175133,Taco_Bell_pulls_green_onions_from_all_U.S._and_Canadian_stores
466,Ås,59.66366,10.79101,NO,A,15863,Taco_Bell_pulls_green_onions_from_all_U.S._and_Canadian_stores
467,Irvine,33.66946,-117.82311,US,P,256927,Taco_Bell_pulls_green_onions_from_all_U.S._and_Canadian_stores
468,Long Island,43.68425,-70.17116,US,P,210,Taco_Bell_pulls_green_onions_from_all_U.S._and_Canadian_stores
469,California,37.25022,-119.75126,US,A,39512223,Taco_Bell_pulls_green_onions_from_all_U.S._and_Canadian_stores
470,Oxnard,34.1975,-119.17705,US,P,207254,Taco_Bell_pulls_green_onions_from_all_U.S._and_Canadian_stores
471,Canada,60.10867,-113.64258,CA,A,37058856,Taco_Bell_pulls_green_onions_from_all_U.S._and_Canadian_stores
472,British Columbia,53.99983,-125.0032,CA,A,4413973,Canada_confirms_fifth_case_of_Mad_Cow_Disease
473,United Kingdom,54.75844,-2.69531,GB,A,66488991,Canada_confirms_fifth_case_of_Mad_Cow_Disease
474,United States,39.76,-98.5,US,A,327167434,Canada_confirms_fifth_case_of_Mad_Cow_Disease
475,Alberta,52.28333,-117.469,CA,A,3497881,Canada_confirms_fifth_case_of_Mad_Cow_Disease
476,Fraser Valley,49.58299,-121.83587,CA,A,277000,Canada_confirms_fifth_case_of_Mad_Cow_Disease
477,Ås,59.66366,10.79101,NO,A,15863,Canada_confirms_fifth_case_of_Mad_Cow_Disease
478,Vancouver,49.24966,-123.11934,CA,P,600000,Canada_confirms_fifth_case_of_Mad_Cow_Disease
479,Canada,60.10867,-113.64258,CA,A,37058856,Canada_confirms_fifth_case_of_Mad_Cow_Disease
480,British Columbia,53.99983,-125.0032,CA,A,4413973,Children_poisoned_by_tainted_cassava_in_the_Philippines
481,United Kingdom,54.75844,-2.69531,GB,A,66488991,Children_poisoned_by_tainted_cassava_in_the_Philippines
482,United States,39.76,-98.5,US,A,327167434,Children_poisoned_by_tainted_cassava_in_the_Philippines
483,Alberta,52.28333,-117.469,CA,A,3497881,Children_poisoned_by_tainted_cassava_in_the_Philippines
484,Fraser Valley,49.58299,-121.83587,CA,A,277000,Children_poisoned_by_tainted_cassava_in_the_Philippines
485,Ås,59.66366,10.79101,NO,A,15863,Children_poisoned_by_tainted_cassava_in_the_Philippines
486,Vancouver,49.24966,-123.11934,CA,P,600000,Children_poisoned_by_tainted_cassava_in_the_Philippines
487,Canada,60.10867,-113.64258,CA,A,37058856,Children_poisoned_by_tainted_cassava_in_the_Philippines
488,Mabini,13.73189,120.9126,PH,A,46211,Children_poisoned_by_tainted_cassava_in_the_Philippines
489,Bohol,9.83333,124.16667,PH,A,1230110,Children_poisoned_by_tainted_cassava_in_the_Philippines
490,British Columbia,53.99983,-125.0032,CA,A,4413973,U.S._superbug_expected_to_emerge_in_Canada
491,United States,39.76,-98.5,US,A,327167434,U.S._superbug_expected_to_emerge_in_Canada
492,Alberta,52.28333,-117.469,CA,A,3497881,U.S._superbug_expected_to_emerge_in_Canada
493,Saskatchewan,50.16722,-100.00446,CA,A,0,U.S._superbug_expected_to_emerge_in_Canada
494,Ås,59.66366,10.79101,NO,A,15863,U.S._superbug_expected_to_emerge_in_Canada
495,Calgary,51.05011,-114.08529,CA,P,1019942,U.S._superbug_expected_to_emerge_in_Canada
496,Manitoba,55.00019,-97.00049,CA,A,1193566,U.S._superbug_expected_to_emerge_in_Canada
