SNE Name,lat,lng,Country Code,Type,Population,source
France,46,2,FR,A,66987244,H5N1_confirmed_in_France
Germany,51.5,10.5,DE,A,82927922,H5N1_confirmed_in_France
Greece,39,22,GR,A,10727668,H5N1_confirmed_in_France
European Union,50.83857,4.37599,,A,0,H5N1_confirmed_in_France
Austria,47.33333,13.33333,AT,A,8847037,H5N1_confirmed_in_France
Slovenia,46.08333,15,SI,A,2067372,H5N1_confirmed_in_France
Lyon,45.75889,4.84139,FR,A,515695,H5N1_confirmed_in_France
France,46,2,FR,A,66987244,H5N1_confirmed_in_France
Germany,51.5,10.5,DE,A,82927922,H5N1_confirmed_in_France
Greece,39,22,GR,A,10727668,H5N1_confirmed_in_France
European Union,50.83857,4.37599,,A,0,H5N1_confirmed_in_France
Austria,47.33333,13.33333,AT,A,8847037,H5N1_confirmed_in_France
Slovenia,46.08333,15,SI,A,2067372,H5N1_confirmed_in_France
Italy,42.83333,12.83333,IT,A,60431283,H5N1_confirmed_in_France
Lyon,45.75889,4.84139,FR,A,515695,H5N1_confirmed_in_France
France,46,2,FR,A,66987244,H5N1_confirmed_in_France
Germany,51.5,10.5,DE,A,82927922,H5N1_confirmed_in_France
Greece,39,22,GR,A,10727668,H5N1_confirmed_in_France
Croatia,45.16667,15.5,HR,A,4089400,H5N1_confirmed_in_France
European Union,50.83857,4.37599,,A,0,H5N1_confirmed_in_France
Austria,47.33333,13.33333,AT,A,8847037,H5N1_confirmed_in_France
Slovenia,46.08333,15,SI,A,2067372,H5N1_confirmed_in_France
Italy,42.83333,12.83333,IT,A,60431283,H5N1_confirmed_in_France
Lyon,45.75889,4.84139,FR,A,515695,H5N1_confirmed_in_France
France,46,2,FR,A,66987244,H5N1_confirmed_in_France
Germany,51.5,10.5,DE,A,82927922,H5N1_confirmed_in_France
Greece,39,22,GR,A,10727668,H5N1_confirmed_in_France
Croatia,45.16667,15.5,HR,A,4089400,H5N1_confirmed_in_France
European Union,50.83857,4.37599,,A,0,H5N1_confirmed_in_France
Austria,47.33333,13.33333,AT,A,8847037,H5N1_confirmed_in_France
Slovenia,46.08333,15,SI,A,2067372,H5N1_confirmed_in_France
Denmark,56,10,DK,A,5797446,H5N1_confirmed_in_France
Italy,42.83333,12.83333,IT,A,60431283,H5N1_confirmed_in_France
Lyon,45.75889,4.84139,FR,A,515695,H5N1_confirmed_in_France
France,46,2,FR,A,66987244,H5N1_confirmed_in_France
Germany,51.5,10.5,DE,A,82927922,H5N1_confirmed_in_France
Greece,39,22,GR,A,10727668,H5N1_confirmed_in_France
Croatia,45.16667,15.5,HR,A,4089400,H5N1_confirmed_in_France
European Union,50.83857,4.37599,,A,0,H5N1_confirmed_in_France
Austria,47.33333,13.33333,AT,A,8847037,H5N1_confirmed_in_France
Slovenia,46.08333,15,SI,A,2067372,H5N1_confirmed_in_France
Denmark,56,10,DK,A,5797446,H5N1_confirmed_in_France
Italy,42.83333,12.83333,IT,A,60431283,H5N1_confirmed_in_France
Lyon,45.75889,4.84139,FR,A,515695,H5N1_confirmed_in_France
France,46,2,FR,A,66987244,H5N1_confirmed_in_France
Germany,51.5,10.5,DE,A,82927922,H5N1_confirmed_in_France
Greece,39,22,GR,A,10727668,H5N1_confirmed_in_France
Croatia,45.16667,15.5,HR,A,4089400,H5N1_confirmed_in_France
European Union,50.83857,4.37599,,A,0,H5N1_confirmed_in_France
Somme,49.93141,2.27639,FR,A,582469,H5N1_confirmed_in_France
Austria,47.33333,13.33333,AT,A,8847037,H5N1_confirmed_in_France
Slovenia,46.08333,15,SI,A,2067372,H5N1_confirmed_in_France
Denmark,56,10,DK,A,5797446,H5N1_confirmed_in_France
Italy,42.83333,12.83333,IT,A,60431283,H5N1_confirmed_in_France
Lyon,45.75889,4.84139,FR,A,515695,H5N1_confirmed_in_France
France,46,2,FR,A,66987244,H5N1_confirmed_in_France
Germany,51.5,10.5,DE,A,82927922,H5N1_confirmed_in_France
Greece,39,22,GR,A,10727668,H5N1_confirmed_in_France
Croatia,45.16667,15.5,HR,A,4089400,H5N1_confirmed_in_France
European Union,50.83857,4.37599,,A,0,H5N1_confirmed_in_France
Somme,49.93141,2.27639,FR,A,582469,H5N1_confirmed_in_France
Austria,47.33333,13.33333,AT,A,8847037,H5N1_confirmed_in_France
Slovenia,46.08333,15,SI,A,2067372,H5N1_confirmed_in_France
Denmark,56,10,DK,A,5797446,H5N1_confirmed_in_France
Italy,42.83333,12.83333,IT,A,60431283,H5N1_confirmed_in_France
Lyon,45.75889,4.84139,FR,A,515695,H5N1_confirmed_in_France
United Kingdom,54.75844,-2.69531,GB,A,66488991,H5N1_strain_of_Avian_Flu_found_in_the_UK
Suffolk,52.16667,1,GB,A,745274,H5N1_strain_of_Avian_Flu_found_in_the_UK
England,52.16045,-0.70312,GB,A,56286961,H5N1_strain_of_Avian_Flu_found_in_the_UK
United Kingdom,54.75844,-2.69531,GB,A,66488991,H5N1_strain_of_Avian_Flu_found_in_the_UK
Suffolk,52.16667,1,GB,A,745274,H5N1_strain_of_Avian_Flu_found_in_the_UK
England,52.16045,-0.70312,GB,A,56286961,H5N1_strain_of_Avian_Flu_found_in_the_UK
Cellardyke,56.22411,-2.69054,GB,P,0,H5N1_strain_of_Avian_Flu_found_in_the_UK
United Kingdom,54.75844,-2.69531,GB,A,66488991,H5N1_strain_of_Avian_Flu_found_in_the_UK
Suffolk,52.16667,1,GB,A,745274,H5N1_strain_of_Avian_Flu_found_in_the_UK
England,52.16045,-0.70312,GB,A,56286961,H5N1_strain_of_Avian_Flu_found_in_the_UK
United Kingdom,54.75844,-2.69531,GB,A,66488991,H5N1_strain_of_Avian_Flu_found_in_the_UK
Cellardyke,56.22411,-2.69054,GB,P,0,H5N1_strain_of_Avian_Flu_found_in_the_UK
Suffolk,52.16667,1,GB,A,745274,H5N1_strain_of_Avian_Flu_found_in_the_UK
Fife,56.25,-3.16667,GB,A,370330,H5N1_strain_of_Avian_Flu_found_in_the_UK
England,52.16045,-0.70312,GB,A,56286961,H5N1_strain_of_Avian_Flu_found_in_the_UK
United Kingdom,54.75844,-2.69531,GB,A,66488991,H5N1_strain_of_Avian_Flu_found_in_the_UK
Cellardyke,56.22411,-2.69054,GB,P,0,H5N1_strain_of_Avian_Flu_found_in_the_UK
Suffolk,52.16667,1,GB,A,745274,H5N1_strain_of_Avian_Flu_found_in_the_UK
Fife,56.25,-3.16667,GB,A,370330,H5N1_strain_of_Avian_Flu_found_in_the_UK
Scotland,56,-4,GB,A,5404700,H5N1_strain_of_Avian_Flu_found_in_the_UK
England,52.16045,-0.70312,GB,A,56286961,H5N1_strain_of_Avian_Flu_found_in_the_UK
United Kingdom,54.75844,-2.69531,GB,A,66488991,H5N1_strain_of_Avian_Flu_found_in_the_UK
Cellardyke,56.22411,-2.69054,GB,P,0,H5N1_strain_of_Avian_Flu_found_in_the_UK
Suffolk,52.16667,1,GB,A,745274,H5N1_strain_of_Avian_Flu_found_in_the_UK
Fife,56.25,-3.16667,GB,A,370330,H5N1_strain_of_Avian_Flu_found_in_the_UK
Scotland,56,-4,GB,A,5404700,H5N1_strain_of_Avian_Flu_found_in_the_UK
West Sumatra,-1,100.5,ID,A,5014112,Indonesian_Health_Ministry:_Two_new_human_clusters_of_Bird_Flu_suspected_in_Sumatra
Karo,12.31667,21.68333,TD,P,0,Indonesian_Health_Ministry:_Two_new_human_clusters_of_Bird_Flu_suspected_in_Sumatra
West Sumatra,-1,100.5,ID,A,5014112,Indonesian_Health_Ministry:_Two_new_human_clusters_of_Bird_Flu_suspected_in_Sumatra
Karo,-4.9406,122.5024,ID,P,0,Indonesian_Health_Ministry:_Two_new_human_clusters_of_Bird_Flu_suspected_in_Sumatra
Medan,3.58333,98.66667,ID,P,1750971,Indonesian_Health_Ministry:_Two_new_human_clusters_of_Bird_Flu_suspected_in_Sumatra
China,35,105,CN,A,1392730000,Mass_poultry_vaccination_planned_by_China
Anhui,31.91667,117.16667,CN,A,64610000,Mass_poultry_vaccination_planned_by_China
China,35,105,CN,A,1392730000,Mass_poultry_vaccination_planned_by_China
Anhui,31.91667,117.16667,CN,A,64610000,Mass_poultry_vaccination_planned_by_China
China,35,105,CN,A,1392730000,Mass_poultry_vaccination_planned_by_China
Hunan,27.66667,111.75,CN,A,66980000,Mass_poultry_vaccination_planned_by_China
Liaoning,41.25,122.66667,CN,A,43150000,Mass_poultry_vaccination_planned_by_China
Anhui,31.91667,117.16667,CN,A,64610000,Mass_poultry_vaccination_planned_by_China
China,35,105,CN,A,1392730000,Mass_poultry_vaccination_planned_by_China
Hunan,27.66667,111.75,CN,A,66980000,Mass_poultry_vaccination_planned_by_China
Liaoning,41.25,122.66667,CN,A,43150000,Mass_poultry_vaccination_planned_by_China
Anhui,31.91667,117.16667,CN,A,64610000,Mass_poultry_vaccination_planned_by_China
China,35,105,CN,A,1392730000,Mass_poultry_vaccination_planned_by_China
Hunan,27.66667,111.75,CN,A,66980000,Mass_poultry_vaccination_planned_by_China
Romania,46,25,RO,A,19473936,New_bird_flu_outbreaks_reported_in_Europe
Ciocile,44.81667,27.23333,RO,P,3101,New_bird_flu_outbreaks_reported_in_Europe
Brăila,45.08333,27.66667,RO,A,367830,New_bird_flu_outbreaks_reported_in_Europe
Romania,46,25,RO,A,19473936,New_bird_flu_outbreaks_reported_in_Europe
Ciocile,44.81667,27.23333,RO,P,3101,New_bird_flu_outbreaks_reported_in_Europe
Brăila,45.08333,27.66667,RO,A,367830,New_bird_flu_outbreaks_reported_in_Europe
Dudescu,44.9507,27.43257,RO,P,912,New_bird_flu_outbreaks_reported_in_Europe
Romania,46,25,RO,A,19473936,New_bird_flu_outbreaks_reported_in_Europe
Ciocile,44.81667,27.23333,RO,P,3101,New_bird_flu_outbreaks_reported_in_Europe
Brăila,45.08333,27.66667,RO,A,367830,New_bird_flu_outbreaks_reported_in_Europe
Dudescu,44.9507,27.43257,RO,P,912,New_bird_flu_outbreaks_reported_in_Europe
Ceamurlia de Jos,44.73333,28.71667,RO,P,2596,New_bird_flu_outbreaks_reported_in_Europe
Romania,46,25,RO,A,19473936,New_bird_flu_outbreaks_reported_in_Europe
Ciocile,44.81667,27.23333,RO,P,3101,New_bird_flu_outbreaks_reported_in_Europe
Brăila,45.08333,27.66667,RO,A,367830,New_bird_flu_outbreaks_reported_in_Europe
Maliuc,45.17678,29.11334,RO,P,238,New_bird_flu_outbreaks_reported_in_Europe
Dudescu,44.9507,27.43257,RO,P,912,New_bird_flu_outbreaks_reported_in_Europe
Ceamurlia de Jos,44.73333,28.71667,RO,P,2596,New_bird_flu_outbreaks_reported_in_Europe
Romania,46,25,RO,A,19473936,New_bird_flu_outbreaks_reported_in_Europe
Ciocile,44.81667,27.23333,RO,P,3101,New_bird_flu_outbreaks_reported_in_Europe
Brăila,45.08333,27.66667,RO,A,367830,New_bird_flu_outbreaks_reported_in_Europe
Maliuc,45.17678,29.11334,RO,P,238,New_bird_flu_outbreaks_reported_in_Europe
Dudescu,44.9507,27.43257,RO,P,912,New_bird_flu_outbreaks_reported_in_Europe
Ceamurlia de Jos,44.73333,28.71667,RO,P,2596,New_bird_flu_outbreaks_reported_in_Europe
Romania,46,25,RO,A,19473936,New_bird_flu_outbreaks_reported_in_Europe
Ciocile,44.81667,27.23333,RO,P,3101,New_bird_flu_outbreaks_reported_in_Europe
Caraorman,45.07891,29.39321,RO,P,494,New_bird_flu_outbreaks_reported_in_Europe
Brăila,45.08333,27.66667,RO,A,367830,New_bird_flu_outbreaks_reported_in_Europe
Maliuc,45.17678,29.11334,RO,P,238,New_bird_flu_outbreaks_reported_in_Europe
Dudescu,44.9507,27.43257,RO,P,912,New_bird_flu_outbreaks_reported_in_Europe
Ceamurlia de Jos,44.73333,28.71667,RO,P,2596,New_bird_flu_outbreaks_reported_in_Europe
Romania,46,25,RO,A,19473936,New_bird_flu_outbreaks_reported_in_Europe
Ciocile,44.81667,27.23333,RO,P,3101,New_bird_flu_outbreaks_reported_in_Europe
Caraorman,45.07891,29.39321,RO,P,494,New_bird_flu_outbreaks_reported_in_Europe
Brăila,45.08333,27.66667,RO,A,367830,New_bird_flu_outbreaks_reported_in_Europe
Russia,60,100,RU,A,144478050,New_bird_flu_outbreaks_reported_in_Europe
Maliuc,45.17678,29.11334,RO,P,238,New_bird_flu_outbreaks_reported_in_Europe
Dudescu,44.9507,27.43257,RO,P,912,New_bird_flu_outbreaks_reported_in_Europe
Ceamurlia de Jos,44.73333,28.71667,RO,P,2596,New_bird_flu_outbreaks_reported_in_Europe
Romania,46,25,RO,A,19473936,New_bird_flu_outbreaks_reported_in_Europe
Ciocile,44.81667,27.23333,RO,P,3101,New_bird_flu_outbreaks_reported_in_Europe
Caraorman,45.07891,29.39321,RO,P,494,New_bird_flu_outbreaks_reported_in_Europe
Brăila,45.08333,27.66667,RO,A,367830,New_bird_flu_outbreaks_reported_in_Europe
Russia,60,100,RU,A,144478050,New_bird_flu_outbreaks_reported_in_Europe
Crimea,45,34,UA,A,1907106,New_bird_flu_outbreaks_reported_in_Europe
Michigan,44.25029,-85.50033,US,A,9883360,Suspected_low_pathogenic_H5N1_Bird_Flu_virus_found_in_the_United_States
Monroe,41.9214,-83.49426,US,A,152021,Suspected_low_pathogenic_H5N1_Bird_Flu_virus_found_in_the_United_States
Lake Erie Southwood,41.69374,-81.38432,US,P,0,Suspected_low_pathogenic_H5N1_Bird_Flu_virus_found_in_the_United_States
Ames,42.03471,-93.61994,US,P,65060,Suspected_low_pathogenic_H5N1_Bird_Flu_virus_found_in_the_United_States
Iowa,41.68632,-92.06552,US,A,16355,Suspected_low_pathogenic_H5N1_Bird_Flu_virus_found_in_the_United_States
Michigan,44.25029,-85.50033,US,A,9883360,Suspected_low_pathogenic_H5N1_Bird_Flu_virus_found_in_the_United_States
Monroe,41.9214,-83.49426,US,A,152021,Suspected_low_pathogenic_H5N1_Bird_Flu_virus_found_in_the_United_States
Lake Erie Southwood,41.69374,-81.38432,US,P,0,Suspected_low_pathogenic_H5N1_Bird_Flu_virus_found_in_the_United_States
Ames,42.03471,-93.61994,US,P,65060,Suspected_low_pathogenic_H5N1_Bird_Flu_virus_found_in_the_United_States
Iowa,41.68632,-92.06552,US,A,16355,Suspected_low_pathogenic_H5N1_Bird_Flu_virus_found_in_the_United_States
Michigan,44.25029,-85.50033,US,A,9883360,Suspected_low_pathogenic_H5N1_Bird_Flu_virus_found_in_the_United_States
Monroe,41.9214,-83.49426,US,A,152021,Suspected_low_pathogenic_H5N1_Bird_Flu_virus_found_in_the_United_States
Lake Erie Southwood,41.69374,-81.38432,US,P,0,Suspected_low_pathogenic_H5N1_Bird_Flu_virus_found_in_the_United_States
Ames,42.03471,-93.61994,US,P,65060,Suspected_low_pathogenic_H5N1_Bird_Flu_virus_found_in_the_United_States
Iowa,41.68632,-92.06552,US,A,16355,Suspected_low_pathogenic_H5N1_Bird_Flu_virus_found_in_the_United_States
Michigan,44.25029,-85.50033,US,A,9883360,Suspected_low_pathogenic_H5N1_Bird_Flu_virus_found_in_the_United_States
Monroe,41.9214,-83.49426,US,A,152021,Suspected_low_pathogenic_H5N1_Bird_Flu_virus_found_in_the_United_States
Lake Erie Southwood,41.69374,-81.38432,US,P,0,Suspected_low_pathogenic_H5N1_Bird_Flu_virus_found_in_the_United_States
Ames,42.03471,-93.61994,US,P,65060,Suspected_low_pathogenic_H5N1_Bird_Flu_virus_found_in_the_United_States
Iowa,41.68632,-92.06552,US,A,16355,Suspected_low_pathogenic_H5N1_Bird_Flu_virus_found_in_the_United_States
Michigan,44.25029,-85.50033,US,A,9883360,Suspected_low_pathogenic_H5N1_Bird_Flu_virus_found_in_the_United_States
Monroe,41.9214,-83.49426,US,A,152021,Suspected_low_pathogenic_H5N1_Bird_Flu_virus_found_in_the_United_States
Lake Erie Southwood,41.69374,-81.38432,US,P,0,Suspected_low_pathogenic_H5N1_Bird_Flu_virus_found_in_the_United_States
Ames,42.03471,-93.61994,US,P,65060,Suspected_low_pathogenic_H5N1_Bird_Flu_virus_found_in_the_United_States
Dresden,51.16667,14.08333,DE,A,1631486,Swan_in_German_zoo_tests_positive_for_H5N1_virus
Germany,51.5,10.5,DE,A,82927922,Swan_in_German_zoo_tests_positive_for_H5N1_virus
Dresden,51.16667,14.08333,DE,A,1631486,Swan_in_German_zoo_tests_positive_for_H5N1_virus
Germany,51.5,10.5,DE,A,82927922,Swan_in_German_zoo_tests_positive_for_H5N1_virus
Dresden,51.16667,14.08333,DE,A,1631486,Swan_in_German_zoo_tests_positive_for_H5N1_virus
United States,39.76,-98.5,US,A,327167434,9_year_old_girl_reported_to_be_latest_US_swine_flu_death
Buffalo,42.88645,-78.87837,US,P,258071,9_year_old_girl_reported_to_be_latest_US_swine_flu_death
United States,39.76,-98.5,US,A,327167434,9_year_old_girl_reported_to_be_latest_US_swine_flu_death
New York,40.71427,-74.00597,US,P,8804190,9_year_old_girl_reported_to_be_latest_US_swine_flu_death
Buffalo,42.88645,-78.87837,US,P,258071,9_year_old_girl_reported_to_be_latest_US_swine_flu_death
United States,39.76,-98.5,US,A,327167434,9_year_old_girl_reported_to_be_latest_US_swine_flu_death
New York,40.71427,-74.00597,US,P,8804190,9_year_old_girl_reported_to_be_latest_US_swine_flu_death
Buffalo,42.88645,-78.87837,US,P,258071,9_year_old_girl_reported_to_be_latest_US_swine_flu_death
United States,39.76,-98.5,US,A,327167434,9_year_old_girl_reported_to_be_latest_US_swine_flu_death
New York,40.71427,-74.00597,US,P,8804190,9_year_old_girl_reported_to_be_latest_US_swine_flu_death
Buffalo,42.88645,-78.87837,US,P,258071,9_year_old_girl_reported_to_be_latest_US_swine_flu_death
United States,39.76,-98.5,US,A,327167434,9_year_old_girl_reported_to_be_latest_US_swine_flu_death
New York,40.71427,-74.00597,US,P,8804190,9_year_old_girl_reported_to_be_latest_US_swine_flu_death
Buffalo,42.88645,-78.87837,US,P,258071,9_year_old_girl_reported_to_be_latest_US_swine_flu_death
Gaza Strip,31.41667,34.33333,PS,A,487904,Gaza_Strip_reports_first_swine_flu_cases
Israel,31.5,34.75,IL,A,8883800,Gaza_Strip_reports_first_swine_flu_cases
Gaza Strip,31.41667,34.33333,PS,A,487904,Gaza_Strip_reports_first_swine_flu_cases
Israel,31.5,34.75,IL,A,8883800,Gaza_Strip_reports_first_swine_flu_cases
Gaza,31.51065,34.46411,PS,A,505700,Gaza_Strip_reports_first_swine_flu_cases
Gaza Strip,31.41667,34.33333,PS,A,487904,Gaza_Strip_reports_first_swine_flu_cases
Israel,31.5,34.75,IL,A,8883800,Gaza_Strip_reports_first_swine_flu_cases
Egypt,27,30,EG,A,98423595,Gaza_Strip_reports_first_swine_flu_cases
Gaza,31.51065,34.46411,PS,A,505700,Gaza_Strip_reports_first_swine_flu_cases
Gaza Strip,31.41667,34.33333,PS,A,487904,Gaza_Strip_reports_first_swine_flu_cases
Israel,31.5,34.75,IL,A,8883800,Gaza_Strip_reports_first_swine_flu_cases
Egypt,27,30,EG,A,98423595,Gaza_Strip_reports_first_swine_flu_cases
Gaza,31.51065,34.46411,PS,A,505700,Gaza_Strip_reports_first_swine_flu_cases
Gaza Strip,31.41667,34.33333,PS,A,487904,Gaza_Strip_reports_first_swine_flu_cases
Israel,31.5,34.75,IL,A,8883800,Gaza_Strip_reports_first_swine_flu_cases
Egypt,27,30,EG,A,98423595,Gaza_Strip_reports_first_swine_flu_cases
Gaza,31.51065,34.46411,PS,A,505700,Gaza_Strip_reports_first_swine_flu_cases
Gaza Strip,31.41667,34.33333,PS,A,487904,Gaza_Strip_reports_first_swine_flu_cases
West Bank,31.66667,35.25,PS,A,2771681,Gaza_Strip_reports_first_swine_flu_cases
Israel,31.5,34.75,IL,A,8883800,Gaza_Strip_reports_first_swine_flu_cases
Egypt,-29.16765,26.95681,ZA,P,0,Gaza_Strip_reports_first_swine_flu_cases
Gaza,31.51065,34.46411,PS,A,505700,Gaza_Strip_reports_first_swine_flu_cases
Kenya,1,38,KE,A,51393010,Kenya_confirms_first_swine_flu_case
South Africa,-29,24,ZA,A,57779622,Kenya_confirms_first_swine_flu_case
Kenya,1,38,KE,A,51393010,Kenya_confirms_first_swine_flu_case
South Africa,-29,24,ZA,A,57779622,Kenya_confirms_first_swine_flu_case
Kenya,1,38,KE,A,51393010,Kenya_confirms_first_swine_flu_case
South Africa,-29,24,ZA,A,57779622,Kenya_confirms_first_swine_flu_case
Nyanza,0.30763,29.74004,CD,P,0,Kenya_confirms_first_swine_flu_case
Kenya,-11.69712,27.47951,CD,A,0,Kenya_confirms_first_swine_flu_case
Kisumu,-0.069,34.64,KE,A,968909,Kenya_confirms_first_swine_flu_case
South Africa,-29,24,ZA,A,57779622,Kenya_confirms_first_swine_flu_case
Nyanza,0.30763,29.74004,CD,P,0,Kenya_confirms_first_swine_flu_case
Kenya,1,38,KE,A,51393010,Kenya_confirms_first_swine_flu_case
India,22,79,IN,A,1352617328,Kenya_confirms_first_swine_flu_case
Kisumu,-0.069,34.64,KE,A,968909,Kenya_confirms_first_swine_flu_case
South Africa,-29,24,ZA,A,57779622,Kenya_confirms_first_swine_flu_case
Nyanza,0.30763,29.74004,CD,P,0,Kenya_confirms_first_swine_flu_case
Kenya,1,38,KE,A,51393010,Kenya_confirms_first_swine_flu_case
India,22,79,IN,A,1352617328,Kenya_confirms_first_swine_flu_case
Kisumu,-0.069,34.64,KE,A,968909,Kenya_confirms_first_swine_flu_case
South Africa,-29,24,ZA,A,57779622,Kenya_confirms_first_swine_flu_case
Nyanza,0.30763,29.74004,CD,P,0,Kenya_confirms_first_swine_flu_case
Kenya,1,38,KE,A,51393010,Kenya_confirms_first_swine_flu_case
Nairobi,-1.28333,36.83333,KE,A,3138369,Kenya_confirms_first_swine_flu_case
India,22,79,IN,A,1352617328,Kenya_confirms_first_swine_flu_case
Kisumu,-0.069,34.64,KE,A,968909,Kenya_confirms_first_swine_flu_case
South Africa,-29,24,ZA,A,57779622,Kenya_confirms_first_swine_flu_case
Nyanza,0.30763,29.74004,CD,P,0,Kenya_confirms_first_swine_flu_case
Kenya,1,38,KE,A,51393010,Kenya_confirms_first_swine_flu_case
Nairobi,-1.28333,36.83333,KE,A,3138369,Kenya_confirms_first_swine_flu_case
Britain,39.25288,-77.69694,US,P,0,Kenya_confirms_first_swine_flu_case
India,22,79,IN,A,1352617328,Kenya_confirms_first_swine_flu_case
Kisumu,-0.069,34.64,KE,A,968909,Kenya_confirms_first_swine_flu_case
South Africa,-29,24,ZA,A,57779622,Kenya_confirms_first_swine_flu_case
Nyanza,0.30763,29.74004,CD,P,0,Kenya_confirms_first_swine_flu_case
Kenya,1,38,KE,A,51393010,Kenya_confirms_first_swine_flu_case
Nairobi,-1.28333,36.83333,KE,A,3138369,Kenya_confirms_first_swine_flu_case
Britain,39.25288,-77.69694,US,P,0,Kenya_confirms_first_swine_flu_case
India,22,79,IN,A,1352617328,Kenya_confirms_first_swine_flu_case
Kisumu,-0.069,34.64,KE,A,968909,Kenya_confirms_first_swine_flu_case
South Africa,-29,24,ZA,A,57779622,Kenya_confirms_first_swine_flu_case
Nyanza,0.30763,29.74004,CD,P,0,Kenya_confirms_first_swine_flu_case
Kenya,1,38,KE,A,51393010,Kenya_confirms_first_swine_flu_case
Nairobi,-1.28333,36.83333,KE,A,3138369,Kenya_confirms_first_swine_flu_case
London,39.88645,-83.44825,US,P,10060,Kenya_confirms_first_swine_flu_case
Britain,39.25288,-77.69694,US,P,0,Kenya_confirms_first_swine_flu_case
India,22,79,IN,A,1352617328,Kenya_confirms_first_swine_flu_case
Kisumu,-0.069,34.64,KE,A,968909,Kenya_confirms_first_swine_flu_case
South Africa,-29,24,ZA,A,57779622,Kenya_confirms_first_swine_flu_case
Nyanza,0.30763,29.74004,CD,P,0,Kenya_confirms_first_swine_flu_case
Kenya,1,38,KE,A,51393010,Kenya_confirms_first_swine_flu_case
Nairobi,-1.28333,36.83333,KE,A,3138369,Kenya_confirms_first_swine_flu_case
London,39.88645,-83.44825,US,P,10060,Kenya_confirms_first_swine_flu_case
Britain,39.25288,-77.69694,US,P,0,Kenya_confirms_first_swine_flu_case
India,22,79,IN,A,1352617328,Kenya_confirms_first_swine_flu_case
Kisumu,-0.069,34.64,KE,A,968909,Kenya_confirms_first_swine_flu_case
South Africa,-29,24,ZA,A,57779622,Kenya_confirms_first_swine_flu_case
Nyanza,0.30763,29.74004,CD,P,0,Kenya_confirms_first_swine_flu_case
Kenya,1,38,KE,A,51393010,Kenya_confirms_first_swine_flu_case
Nairobi,-1.28333,36.83333,KE,A,3138369,Kenya_confirms_first_swine_flu_case
London,39.88645,-83.44825,US,P,10060,Kenya_confirms_first_swine_flu_case
Britain,39.25288,-77.69694,US,P,0,Kenya_confirms_first_swine_flu_case
India,22,79,IN,A,1352617328,Kenya_confirms_first_swine_flu_case
Kisumu,-0.069,34.64,KE,A,968909,Kenya_confirms_first_swine_flu_case
South Africa,-29,24,ZA,A,57779622,Kenya_confirms_first_swine_flu_case
Nyanza,0.30763,29.74004,CD,P,0,Kenya_confirms_first_swine_flu_case
Kenya,1,38,KE,A,51393010,Kenya_confirms_first_swine_flu_case
Nairobi,-1.28333,36.83333,KE,A,3138369,Kenya_confirms_first_swine_flu_case
London,39.88645,-83.44825,US,P,10060,Kenya_confirms_first_swine_flu_case
Britain,39.25288,-77.69694,US,P,0,Kenya_confirms_first_swine_flu_case
India,22,79,IN,A,1352617328,Kenya_confirms_first_swine_flu_case
Kisumu,-0.069,34.64,KE,A,968909,Kenya_confirms_first_swine_flu_case
San Agustín,13.45617,-88.58978,SV,A,0,Kenya_confirms_first_swine_flu_case
South Africa,-29,24,ZA,A,57779622,Kenya_confirms_first_swine_flu_case
Nyanza,0.30763,29.74004,CD,P,0,Kenya_confirms_first_swine_flu_case
Kenya,1,38,KE,A,51393010,Kenya_confirms_first_swine_flu_case
Nairobi,-1.28333,36.83333,KE,A,3138369,Kenya_confirms_first_swine_flu_case
London,39.88645,-83.44825,US,P,10060,Kenya_confirms_first_swine_flu_case
North Carolina,35.50069,-80.00032,US,A,10488084,Mutated_strain_of_H1N1_virus_detected_in_US_and_Norway
United States,39.76,-98.5,US,A,327167434,Mutated_strain_of_H1N1_virus_detected_in_US_and_Norway
Mexico,23,-102,MX,A,126190788,Mutated_strain_of_H1N1_virus_detected_in_US_and_Norway
Norway,62,10,NO,A,5314336,Mutated_strain_of_H1N1_virus_detected_in_US_and_Norway
Ås,59.66366,10.79101,NO,A,15863,Mutated_strain_of_H1N1_virus_detected_in_US_and_Norway
China,25.51224,-99.00457,MX,A,0,Mutated_strain_of_H1N1_virus_detected_in_US_and_Norway
North Carolina,35.50069,-80.00032,US,A,10488084,Mutated_strain_of_H1N1_virus_detected_in_US_and_Norway
United States,39.76,-98.5,US,A,327167434,Mutated_strain_of_H1N1_virus_detected_in_US_and_Norway
Mexico,23,-102,MX,A,126190788,Mutated_strain_of_H1N1_virus_detected_in_US_and_Norway
Norway,62,10,NO,A,5314336,Mutated_strain_of_H1N1_virus_detected_in_US_and_Norway
Japan,35.68536,139.75309,JP,A,126529100,Mutated_strain_of_H1N1_virus_detected_in_US_and_Norway
Ås,59.66366,10.79101,NO,A,15863,Mutated_strain_of_H1N1_virus_detected_in_US_and_Norway
China,25.51224,-99.00457,MX,A,0,Mutated_strain_of_H1N1_virus_detected_in_US_and_Norway
North Carolina,35.50069,-80.00032,US,A,10488084,Mutated_strain_of_H1N1_virus_detected_in_US_and_Norway
Ukraine,49,32,UA,A,44622516,Mutated_strain_of_H1N1_virus_detected_in_US_and_Norway
United States,39.76,-98.5,US,A,327167434,Mutated_strain_of_H1N1_virus_detected_in_US_and_Norway
